Mula sa https://tl.wikipedia.org/wiki/Talaan_ng_mga_salitang_hiniram_ng_Tagalog

Abante 	Avante 	Pasulong, Pausad
Olanda 	Holanda 	
Onsa 	Onza 	
Opisyal 	Oficial 	
Otel 	Hotel 	
Pabrika 	Fábrica 	Pagawaan
Pamilya 	Familia 	
Panderetas 	Panderetas 	
Pantalon 	Pantalón 	
Papel 	Papel 	
Parol 	Farol 	
Parke 	Parque 	Liwasan
Pasaporte 	Pasaporte 	
Payaso 	Payaso 	Lukayo
Pelikula 	Película 	
Pilduras 	Píldoras 	
Pilipinas 	Filipinas 	
Piso 	Peso 	
Porke 	Porque 	Kasi
Probinsiya 	Provincia 	Lalawigan
Presidente 	Presidente 	Pangulo
Presko 	Fresco 	Sariwa
Protina 	Proteina 	
Pulgada 	Pulgada 	
Pulisya 	Policía 	
Puwede 	Puede 	Kaya, Maaarì
Puwera[12] 	Fuera 	Maliban sa, Maliban kay
Radyo 	Radio 	
Realidad 	Realidad 	Katunayan, Katotohanan
Relo, Relos, Rilos 	Reloj 	Orasan
Republika 	República 	
Sabadista 	Sabadista 	
Sapatos 	Zapatos 	
Sardinas 	Sardinas 	
Sarado 	Cerrado 	Nakapinid
Selyo 	Sello 	Tatak
Sentimyento (o "senti") 	Sentimiento 	
Senyales 	Señales 	Tanda
Sikolohiya 	Psicología 	
Sink (Zn) 	Zinc 	
Simple 	Simple 	Payak
Sipilyo 	Cepillo 	
Siyensya 	Ciencia 	Agham
Siyudad 	Ciudad 	Lungsod
Sundalo 	Soldado 	Kawal
Sustansya 	Sustancia 	
Sustento 	Sustento 	
Suweldo 	Sueldo 	Sahod
Tableta 	Tableta 	
Tangke 	Tanque 	
Tarheta 	Tarjeta 	
Tasa 	Taza 	
Teklado 	Teclado 	Tipaan (karaniwan para sa kompyuter)
Tela 	Tela 	
Telebisyon 	Televisión 	
Telepono 	Teléfono 	
Tiya 	Tía 	Tita
Tiyo 	Tío 	Tito
Tsino 	Chino 	Intsík (bahagyang mapanghamak), Tsekwa (salitang balbal)
Tsinelas 	Chinelas 	
Tisa 	Tiza 	Yeso
Tsismis 	Chismes 	Satsat
Tumbaga 	Tumbaga 	
Unibersidad 	Universidad 	Pamantasan
Welga 	Huelga 	
Yelo 	Hielo 	
Yodo (I) 	Yodo 	

Alahero 	Alhajero ("kahon ng alahas") 	Joyero
Algodon[27] 	Algodon ("bulak") 	Pagapa; pez blanco
Almohadilya[28] 	Almohadilla ("maliit na unan") 	Alfombrilla para el ratón o mouse
Almusal 	Almorzar ("magtanghalian") 	Desayuno
Asar[29] 	Asar ("ihawin") 	Molestar
Bahura 	Bajura ("baybayin" o "mababaw na tubig") 	Arrecife coralina
Barkada 	Barcada ("lulan ng bangka" o "biyahe sa bangka") 	Pandilla de amigos o camaradas
Basta 	Basta ("sapat") 	Siempre y cuando; siempre que
Bida 	Vida ("buhay") 	Protagonista
Biskotso 	Bizcocho ("mamon") 	Pan tostado
Bulsa 	Bolsa ("bag") 	Bolsillo
Dehado 	Dejado ("naiwan" o "walang-ingat") 	Desfavorecido; desaventajado
Delikado 	Delicado ("maselan") 	Peligroso
Dilihensiya 	Diligencia ("sipag" o "bilin") 	Pedir un préstamo
Disgrasya 	Desgracia ("kasawian") 	Accidente
Diskarte 	Descarte ("iwaksi") 	Ingeniosidad; capacidad de improvisación
Gisado 	Guisado ("nilaga") 	Salteado
Harana 	Jarana ("kaguluhan", "pakikisalu-salo" o "walang-taros na pagsasaya")
Hepe 	Jefe ("puno" o "amo") 	Comisario; jefe de policía
Impakto 	Impacto ("salpok" o "dagok") 	Espíritu maligno
Inutil 	Inútil ("walang silbi") 	Sexualmente impotente
Iskiyerda 	Izquierda ("kaliwa") 	Irse de; abandonar
Kabayo 	Caballo ("koda") 	Tabla de planchar
Kabisera 	Cabecera ("ulo" o "ulunan ng kama") 	Capital; ciudad cabecera
Kakawate 	Cacahuate ("mani") 	Madre de cacao
Kasilyas 	Casillas ("kubikulo") 	Baño
Konyo 	Coño ("salitang bulgar at masama") 	De clase alta
Kubeta 	Cubeta ("balde") 	Baño
Kulebra 	Culebra ("ahas") 	Culebrilla; herpes zóster
Kursonada 	Corazonada ("kutob") 	Deseo del corazón
Kuryente 	Corriente ("daloy") 	Electricidad; corriente eléctrica
Labakara 	Lavacara ("hilamusan") 	Toalla de tocador
Lakwatsa 	Cuacha ("dumi") 	Vaguear; holgazanear; hacer novillos
Lamyerda 	Mierda ("dumi") 	Vaguear; holgazanear; hacer novillos
Libre 	Libre ("malaya") 	Gratis
Liyamado 	Llamado ("tinawagan", "pinangalanan" o "itinalaga") Favorecido
Mantika 	Manteca ("mantikilya") 	Aceite
Muta 	Mota ("batik" o "dumi") 	Legaña
Palengke 	Palenque ("istakada" o "bakod") 	Mercado
Palitada 	Paletada ("sanpala" o "sandulos") 	Yeso
Papagayo 	Papagayo ("loro") 	Cometa
Parada 	Parada ("hinto") 	Desfile
Parol 	Farol ("ilawan", "lampara" o "ilaw sa kalye") 	Estrella navideña
Parolero 	Farolero ("tagapagsindi ng lampara") 	Artesano de estrellas navideñas
Pasamano 	Pasamano ("dalaydayan") 	Alféizar, repisa de la ventana
Pitso 	Pecho ("dibdib" o "suso") 	Pechuga de pollo
Postiso 	Postizo ("huwad" o "nababakas") 	Prótesis dental; dentadura postiza
Putahe 	Potaje ("nilagang gulay o sopas") 	Plato
Rebentador 	Reventador ("manunulsol") 	Petardo
Rekado 	Recado ("mensahe" o "bilin") 	Especia; condimiento
Ruweda[30] 	Rueda ("gulong") 	Rueda de la fortuna
Semilya 	Semilla ("binhi") 	Semen
Sentido 	Sentido ("diwa" o "kahulugan") 	Templo; sien
Siguro 	Seguro ("sigurado") 	Quizás; probablemente
Silindro 	Cilindro ("silinder") 	Armónica
Sintas 	Cintas ("laso", "teyp" o "sinturon") 	Cordón de zapato; cintas para zapatos
Siyempre 	Siempre ("palagi") 	Por supuesto
Suplado 	Soplado ("hinanginan" o "pinapintog") 	Presuntuoso, arrogante
Suporta 	Soportar ("pagtiisan") 	Apoyo
Sustansya 	Sustancia (meaning "substance") 	Sustancia nutritiva; nutriente
Tirada 	Tirada ("ihagis" o "bilang ng nalimbag") 	Diatriba
Todas 	Todas ("lahat") 	Matar
Todo 	Todo ("lahat", "buong", "bawat", atbp.) 	Al máximo
Tosino 	Tocino ("bacon") 	Carne curada endulzada
Tsamporado 	Champurrado ("atole batay sa tsokolate") 	Arroz al chocolate
Tsika 	Chica ("babae") 	Chisme
Turon 	Turrón ("nougat") 	Rollo de platano frito
Tuwalya 	Toalla ("tuwalya") 	Mondongo; tripa; callos

Alahas 	Alhaja (maramihan: alhajas) 	Alahas; hiyas
Alkatsopas 	Alcachofa (maramihan: alcachofas) 	Alkatsopas (Cynara scolymus)
Aratiles 	Dátil (maramihan: dátiles) 	Datilero (Phoenix dactilyfera)
Armas 	Arma (maramihan: armas) 	Sandata; braso
Balbas 	Barba (maramihan: barbas) 	Balbas
Banyos 	Baño (maramihan: baños) 	Banyo; paliguan
Bayabas 	Guayaba (maramihan: guayabas) 	Bayabas (Psidium guajava)
Beses 	Vez (maramihan: veces) 	Beses
Boses 	Voz (maramihan: voces) 	Boses; tinig
Butones (bar. bitones) 	Botón (maramihan: botones) 	Butones
Datos 	Dato (maramihan: datos) 	Katotohanan; detalye; piraso ng impormasyon; datos
Garbansos 	Garbanzo (maramihan: garbanzos) 	Garbansos (Cicer arietinum)
Gastos 	Gasto (maramihan: gastos) 	Gastos; gugol; paggasta
Gisantes 	Guisante (maramihan: guisantes) 	Tsitsaro (Pisum sativum)
Guwantes 	Guante (maramihan: guantes) 	Guwantes
Kalatas[32] 	Carta (maramihan: cartas) 	Sulat; talangguhit; karta
Kamatis 	Tomate (maramihan: tomates) 	Tomato (Lycopersicum esculentum)
Kasilyas 	Casilla (maramihan: casillas) 	Kubikulo; kubol
Kastanyas 	Castaña (maramihan: castañas) 	Kastanyas (Castanea spp.)
Kostilyas 	Costilla (maramihan: costillas) 	Rib
Kubyertos 	Cubierto (maramihan: cubiertos) 	Kubyertos
Kuwerdas 	Cuerda (maramihan: cuerdas) 	Lubid; tali; kuwerdas
Kuwintas 	Cuenta (maramihan: cuentas) 	Hiyas
Kuwitis 	Cohete (maramihan: cohetes) 	Kuwitis
Labanos 	Rabano (maramihan: rabanos) 	Labanos (Raphanus sativus)
Lansones 	Lanzón[33] (maramihan: lanzones) 	P. Kast. para sa Lansium domesticum
Letsugas 	Lechuga (maramihan: lechugas) 	Lettuce (Lactuca sativa)
Manggas 	Manga (maramihan: mangas) 	Manggas
Mansanas 	Manzana (maramihan: manzanas) 	Mansanas (Malus domestica)
Materyales 	Material (maramihan: materiales) 	Materyales
Medyas 	Media (maramihan: medias) 	Medyas
Opisyales 	Oficial (maramihan: oficiales) 	Opisyales
Oras 	Hora (maramihan: horas) 	Oras (sukat ng panahon)
Panderetas 	Pandereta (maramihan: panderetas) 	Panderetas
Palanas[32] 	Plana (maramihan: planas) 	Kapatagan
Papeles 	Papel (maramihan: papeles) 	Papel
Patatas 	Patata (maramihan: patatas) 	Patatas (Solanum tuberosum)
Pares 	Par (maramihan: pares) 	Pair
Pasas 	Pasa (maramihan: pasas) 	Pasas
Pastilyas 	Pastilla (maramihan: pastillas) 	Pilduras; tableta; kendi
Peras 	Pera (maramihan: peras) 	Peras (Pyrus spp.)
Perlas 	Perla (maramihan: perlas) 	Perlas
Pilduras 	Pildora (maramihan: pildoras) 	Pilduras; tableta
Pohas 	Foja (maramihan: fojas) 	Pohas
Posas 	Esposa (maramihan: esposas) 	Posas
Presas 	Presa (maramihan: presas) 	Presas (Fragaria x ananassa)
Prutas 	Fruta (maramihan: frutas) 	Prutas
Pulbos 	Polvo (maramihan: polvos) 	Alikabok; pulbos
Pulseras 	Polvo (maramihan: pulseras) 	Pulseras
Puntos 	Punto (maramihan: puntos) 	Tuldok; punto; puntos (paligsahan)
Rehas 	Reja (maramihan: rejas) 	Rehas
Riles 	Carril (maramihan: carriles) 	Landas; daanan
Rosas 	Rosa (maramihan: rosas) 	Rose (Rosa spp.)
Salas 	Sala (maramihan: salas) 	Sala
Sapatos 	Zapato (maramihan: zapatos) 	Sapatos
Sardinas 	Sardina (maramihan: sardinas) 	Sardinas (Clupeidae)
Senyales 	Señal (maramihan: señales) 	Senyas; tanda
Senyas 	Seña (maramihan: señas) 	Senyas; tanda
Sibuyas 	Cebolla (maramihan: cebollas) 	Sibuyas (Allium cepa)
Sigarilyas 	Seguidilla[34] (maramihan: seguidillas) 	P. Kast. para sa Psophocarpus tetragonolobus
Silahis[35] 	Celaje (maramihan: celajes) 	Kulumpon ng ulap
Singkamas 	Jícama (maramihan: jícamas) 	Singkamas (Pachyrhizus erosus)
Sintas 	Cinta (maramihan: cintas) 	Laso; teyp; puntas
Sintomas 	Síntoma (maramihan: síntomas) 	Sintomas
Sopas 	Sopa (maramihan: sopas) 	Sabaw
Sorbetes 	Sorbete (maramihan: sorbetes) 	Sorbetes
Tsinelas 	Chinela (maramihan: chinelas) 	Tsinelas
Tsismis 	Chisme (maramihan: chismes) 	Chismis
Ubas 	Uva (maramihan: uvas) 	Ubas (Vitis spp.)
Uhales 	Ojal (maramihan: ojales) 	Uhales
Uhas 	Hoja (maramihan: hojas) 	Dahon

Mga salitang nagmula sa mga pandiwa ng Kastila

Akusa 	Acusar 	Akusahan; paratangan
Alsa 	Alzar 	Iangat; itaas; ipatayo
Analisa 	Analizar 	Suriin
Apela 	Apelar 	Apela, mamanhik
Apruba 	Aprobar 	Magpatibay; pahintulutan
Apura 	Apurar 	Tapusin; magmadali (Lat. Am.)
Alkila (bar. arkila) 	Alquilar 	Magrenta; magparenta
Asinta 	Asentar 	Itutok sa pook; ilapag
Aturga 	Otorgar 	Ipagkaloob; ibigay; igawad
Awtorisa 	Autorizar 	Pahintulutan
Bara 	Barrar 	Putikan
Bati 	Batir 	Batihin
Beripika 	Verificar 	Patunayan
Bulkanisa 	Vulcanizar 	Bulkanisa
Bura 	Borrar 	Magbura
Burda 	Bordar 	Magburda
Deklara 	Declarar 	Magpahayag
Determina 	Determinar 	Magpasiya
Dikta 	Dictar 	Mag-utos
Dimiti 	Dimitir 	Magbitiw sa tungkulin
Dirihi 	Dirigir 	Mamahala; mangasiwa
Disapruba 	Disaprobar 	Di-sang-ayunan
Disarma 	Desarmar 	Mag-alis ng sandata
Disimpekta 	Desinfectar 	Magdisimpekta
Disimula 	Disimular 	Itago; takpan
Diskarga 	Descargar 	Alisan ng kargada; ikarga-pakuha
Diskita 	Desquitar 	Bumawi
Diskubri 	Descubrir 	Matuklasan
Dismaya 	Desmayar 	Masira ang loob; masiphayo
Distrungka 	Destroncar 	Hawanin
Galbanisa 	Galvanizar 	Galbanisahin
Gisa 	Guisar 	Maglaga
Hulma 	Ahormar 	Hugisan
Husga 	Juzgar 	Hatulan
Imbestiga 	Investigar 	Mag-imbestiga; siyasatin
Imbita 	Invitar 	Mag-anyaya
Intindi 	Entender 	Intindihin; unawain
Itsa 	Echar 	Ihagis
Kalkula 	Calcular 	Kalkulahin; tayahin
Kansela 	Cancelar 	Ikansela
Kanta 	Cantar 	Mag-awit
Karga 	Cargar 	Ikarga; punuin
Kodipika 	Codificar 	Isakodigo
Kondena 	Condenar 	Kondenahin
Konserba 	Conservar 	Makatipid
Konsidera 	Considerar 	Isaalang-alang; ituring
Kubli 	Cubrir 	Itago; itakip
Kubra 	Cobrar 	Maningil
Kula 	Colar 	Salain; Magpaputi
Kulti 	Curtir 	Magpaitim
Kumbida 	Convidar 	Mag-anyaya
Kumbinsi 	Convencir 	Kumbinsihin
Kumpara 	Comparar 	Ihambing
Kumpirma 	Confirmar 	Kumpirmahin
Kumpiska 	Confiscar 	Kumpiskahin; samsamin
Kumpuni (bar. kompone) 	Componer 	Ibuo; umakda; ayusin
Kusi 	Cocer 	Magluto
Laba 	Lavar 	Maglaba; maghugas
Legalisa 	Legalizar 	Legalisahin
Liberalisa 	Liberalizar 	Liberalisahin
Manipula 	Manipular 	Manipulahin
Marka 	Marcar 	Magmarka
Nomina 	Nominar 	Hirangin
Obliga 	Obligar 	Pilitan; obligahin
Obserba 	Observar 	Obserbahan; pagmasdan
Opera 	Operar 	Magpatakbo
Palsipika 	Falsificar 	Palsipikahin; doktorin
Palya 	Fallar 	Mabigo
Paralisa 	Paralizar 	Paralisahin
Pasa 	Pasar 	Iabot; mangyari; danasin
Pasma[40] 	Pasmar 	Magpahanga; magpamangha
Pinta 	Pintar 	Magpinta
Pirma 	Firmar 	Maglagda
Pormalisa 	Formalizar 	Gawing pormal
Prepara 	Preparar 	Maghanda
Preserba 	Preservar 	Panatilihin
Proklama 	Proclamar 	Ipahayag; iproklama
Pundi 	Fundir 	Tunawin; pagsamahin
Punta 	Apuntar 	Pumuntirya; ituro; isulat
Purga 	Purgar 	Magpurga
Pursigi 	Perseguir 	Ipagpatuloy; sundan; habulin; umusig
Pusta 	Apostar 	Pumusta; tumaya
Ratipika 	Ratificar 	Magpatibay
Reboka 	Revocar 	Bawiin
Rekomenda 	Recomendar 	Magrekomenda
Repina 	Refinar 	Pinuhin
Sangkutsa 	Sancochar o Salcochar 	Pakuluan sa tubig at asin
Salba 	Salvar 	Iligtas
Sara 	Cerrar 	Isara
Silbi 	Servir 	Maglingkod
Sindi 	Encender 	Magpaapoy; buksan
Sulda 	Soldar 	Maghinang; pagkaisahin
Sulsi 	Zurcir 	Tumahi; maghayuma
Sumite 	Someter 	Sumupil; lupigin; ipasa
Suspende 	Suspendir 	Suspindihin
Tantiya 	Tantear 	Kapain; timbangin; tantiyahin
Taranta 	Atarantar 	Magpatulala; magpasilaw
Tasa 	Tajar 	Tumaga; gupitin; hiwain
Timpla 	Templar 	Magpalamig; gawing katamtaman
Tumba 	Tumbar 	Patumbahin
Tusta 	Tostar 	Tustahin
Umpisa 	Empezar 	Magsimula

Mga salitang tambalan na may nakahalong Kastila at Tagalog

Agaw-eksena 	agaw (mula sa Tagalog) + eksena (mula sa Kast. escena)
Alsa-balutan 	alsa (mula sa Kast. alzar) + balutan (mula sa Tagalog)
Amoy-tsiko 	amoy (mula sa Tagalog) + tsiko (mula sa Kast. chicozapote)
Anemonang-dagat 	anemona (mula sa Kast. anémona) + dagat (mula sa Tagalog)
Bagong-salta 	bago (mula sa Tagalog) + salta (mula sa Kast. saltar)
Balat-sibuyas 	balat (mula sa Tagalog) + sibuyas (mula sa Kast. cebollas)
Balik-eskwela 	balik (mula sa Tagalog) + eskwela (mula sa Kast. escuela)
Bantay-sarado 	bantay (mula sa Tagalog) + sarado (mula sa Kast. cerrado)
Bigay-todo 	bigay (mula sa Tagalog) + todo (mula sa Kast. todo)
Boses-ipis 	boses (mula sa Kast. voces) + ipis (mula sa Tagalog)
Boses-palaka 	boses (mula sa Kast. voces) + palaka (mula sa Tagalog, frog)
Bugbog-sarado 	bugbog (mula sa Tagalog) + sarado (mula sa Kast. cerrado)
Bulak-niyebe 	bulak (mula sa Tagalog) + niyebe (mula sa Kast. nieve)
Dilang-anghel 	dila (mula sa Tagalog) + anghel (mula sa Kast. angel)
Dilang-baka 	dila (mula sa Tagalog) + baka (mula sa Kast. vaca)
Doble-ingat 	doble (mula sa Kast. doble) + ingat (mula sa Tagalog)
Doble-talim 	doble (mula sa Kast. doble) + talim (mula sa Tagalog)
Epikong-bayan 	epiko (mula sa Kast. poema épico) + bayan (mula sa Tagalog)
Esponghang-dagat 	espongha (from. Sp. esponja) + dagat (mula sa Tagalog)
Giyera-patani 	giyera (mula sa Kast. guerra) + patani (mula sa Tagalog)
Hating-globo 	hati (mula sa Tagalog) + globo (mula sa Kast. globo)
Hiram-kantores 	hiram (mula sa Tagalog) + kantores (mula sa Kast. cantores)
Kabayong-dagat 	kabayo (mula sa Kast. cavallo) + dagat (mula sa Tagalog)
Karnerong-dagat 	karnero (mula sa Kast. carnero) + dagat (mula sa Tagalog)
Kayod-marino 	kayod (mula sa Tagalog) + marino (mula sa Kast. marino)
Kilos-protesta 	kilos (mula sa Tagalog) + protesta (mula sa Kast. protesta)
Kuwentong-bayan 	kwento (mula sa Kast. cuento) + bayan (mula sa Tagalog)
Lakad-pato 	lakad (mula sa Tagalog) + pato (mula sa Kast. pato)
Leong-dagat 	leon (mula sa Kast. león) + dagat (mula sa Tagalog)
Mukhang-pera 	mukha (mula sa Tagalog) + pera (mula sa Kast. perra gorda o perra chica)
Pader-ilog 	pader (mula sa Kast. pared) + ilog (mula sa Tagalog)
Pampalipas-oras 	lipas (mula sa Tagalog) + oras (mula sa Kast. horas)
Panday-yero 	panday (mula sa Tagalog) + yero (mula sa Kast. hierro)
Patay-malisya 	patay (mula sa Tagalog) + malisya (mula sa Kast. malicia)
Pusong-mamon 	puso (mula sa Tagalog) + mamon (mula sa Kast. mamón)
Sanib-puwersa 	sanib (mula sa Tagalog) + puwersa (mula sa Kast. fuerza)
Siling-haba 	sili (mula sa Kast. chile) + haba (mula sa Tagalog)
Siling-labuyo 	sili (mula sa Kast. chile) + labuyo (mula sa Tagalog)
Singsing-pari 	singsing (mula sa Tagalog) + pari (mula sa Kast. padre)
Sirang-plaka 	sira (mula sa Tagalog) + plaka (mula sa Kast. placa)
Sulat-makinilya 	sulat (mula sa Tagalog) + makinilya (mula sa Kast. maquinilla)
Taas-presyo 	taas (mula sa Tagalog) + presyo (mula sa Kast. precio)
Tabing-kalsada 	tabi (mula sa Tagalog) + kalsada (mula sa Kast. calzada)
Tabing-kalye 	tabi (mula sa Tagalog) + kalye (mula sa Kast. calle)
Takaw-aksidente 	takaw (mula sa Tagalog) + aksidente (mula sa Kast. accidente)
Takaw-disgrasya 	takaw (mula sa Tagalog) + disgrasya (mula sa Kast. desgracia)
Takdang-oras 	takda (mula sa Tagalog) + oras (mula sa Kast. horas)
Takdang-petsa 	takda (mula sa Tagalog) + petsa (mula sa Kast. fecha)
Tanim-bala 	tanim (mula sa Tagalog) + bala (mula sa Kast. bala)
Tanim-droga 	tanim (mula sa Tagalog) + droga (mula sa Kast. droga)
Taong-grasa 	tao (mula sa Tagalog) + grasa (mula sa Kast. grasa)
Tubig-gripo 	tubig (mula sa Tagalog) + gripo (mula sa Kast. grifo)
Tulak-droga 	tulak (mula sa Tagalog, to push) + droga (mula sa Kast. droga)
Tulog-mantika 	tulog (mula sa Tagalog) + mantika (mula sa Kast. manteca)
Tunog-lata 	tunog (mula sa Tagalog) + lata (mula sa Kast. lata)

Ingles

Adik 	Drug addict 	Durugista (Kast. drogas + -ista)
Adyenda 	Agenda 	
Bag 	Bag 	Supot
Bakwit 	Evacuate 	Lumikas
Barbikyu 	Barbecue 	
Basketbol 	Basketball 	
Beysbol 	Baseball 	
Bilyar 	Billiard 	
Biskwit 	Biscuit 	
Bistek 	Beef steak 	
Bodabil 	Vaudeville 	
Boksing 	Boxing 	
Bolpen 	Ballpoint pen 	
Drayber 	Driver 	Tsuper (Kast. chofer)
Dyaket 	Jacket 	
Dyakpat 	Jackpot 	
Dyip/Dyipni 	Jeep/Jeepney 	
Gadyet 	Gadget 	
Gradweyt 	Graduate 	Nakapagtapos ng pag-aaral; gradwado (Kast. graduado)
Hayskul 	High school 	Paaralang sekundarya (sekundarya = Kast. secundaria); Mataas na paaralan
Helikopter 	Helicopter 	
Interbyu 	Interview 	Panayam, Entrebista (Kast. entrevista)
Internet 	Internet 	
Iskedyul 	Schedule 	Talaorasan (oras = Kast. horas)
Iskolar 	Scholar 	
Iskor 	Score 	Puntos (Kast. punto)
Iskul 	School 	Paaralan
Iskrip 	Script 	
Iskrin 	Screen 	Tabing
Iskuter 	Scooter 	
Iskuwater 	Squatter 	
Ispayral 	Spiral 	Balisungsong
Ispiker 	Speaker (tao) 	Tagapagsalita, Tagatalumpati, Mananalumpati
Isponsor 	Sponsor 	Tagatangkilik
Isport 	Sport 	Palaro, Palakasan, Paligsahan (isinasalin din bilang "timpalak" o "torneo")
Isprey 	Spray 	Wisik
Istandard 	Standard 	Pamantayan, Panukatan
Kabinet 	Cabinet 	Aparador (Kast.)
Kambas 	Canvass 	
Kapirayt 	Copyright 	Karapatang-sipi
Karot 	Carrot 	Asinorya, Asanorya
Kemikal 	Chemical 	
Kendi 	Candy 	Minatamis
Ketsap 	Ketchup 	Sarsa (Kast. salsa)
Keyk 	Cake 	
Kompyuter 	Computer 	
Korek 	Correct 	Ayos, Tama (Sans.), Tumpak
Kyut 	Cute 	Lindo (l) & Linda (b) (Kast.)
Lider 	Leader 	Pinuno
Lobat[45] 	Low battery 	
Madyik 	Magic 	Salamangka
Magasin 	Magazine 	
Miskol[45] 	Missed call 	
Miting 	Meeting 	Pulong
Nars 	Nurse 	
Okey 	OK, Okay 	Sige (Kast. sigue)
Plastik 	Plastic 	
Pulis 	Police 	
Rali 	Rally 	
Sandwits 	Sandwich 	
Tambay 	Stand by 	
Tenis 	Tennis 	
Tin-edyer 	Teenager 	Lalabintaunin
Titser 	Teacher 	Guro (Sans. "guru"), Maestro (l) & Maestra (b)(Kast.)
Tisyu 	Tissue 	
Traysikel 	Tricycle 	Trisiklo
Trey 	Tray 	
Wais 	Wise 	Mautak, Maabilidad (abilidad = Kast.)

Malay

Balaklaot[47] 	barat laut (Malay, hilagang-kanluran)
Batubalani[48] 	batu (Malay at Tagalog) + berani (Malay, matapang)
Bibingka[49] 	kuih bingka (Malay, tumutukoy sa mamon na gawa sa kamoteng-kahoy)
Bilanggo 	belenggu (Malay, posas o kadena)
Binibini[50] 	bini (Malay, asawang babae)
Bunso[51] 	bongsu (Malay, pinakabata na ipinanak)
Dalamhati 	dalam (Malay, sa loob) + hati (Malay, atay)
Dalubhasa[52] 	juru (Malay, eksperto) + bahasa (Malay, wika)
Hatol[53] 	atur (Malay, kaayusan o pagkakaayos)
Kanan[54] 	kanan (Malay, kanan)
Kawal[55] 	kawal (Malay, bantay, patrolya o tanod)
